Customer,State,Customer Lifetime Value,Response,Effective To Date,EmploymentStatus,Income,Location Code,Marital Status,Monthly Premium,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount
CJ15590,Oregon,2695.182419,No,2/1/11,Employed,32720,Suburban,Divorced,67,13,12,0,1,Personal,Personal L2,Offer3,Branch,321.6
OI48267,California,6047.02516,Yes,2/19/11,Employed,20396,Suburban,Married,76,15,60,1,4,Personal,Personal L3,Offer1,Branch,364.8
JY67916,Oregon,13171.01282,No,1/27/11,Medical Leave,21513,Suburban,Married,119,21,81,1,2,Personal,Personal L3,Offer2,Branch,679.827592
OE75231,Washington,10656.88195,Yes,2/27/11,Employed,72540,Suburban,Married,88,7,3,0,2,Corporate,Corporate L3,Offer2,Call Center,631.743039
CZ33664,Oregon,2527.653796,No,1/17/11,Employed,80744,Rural,Married,63,24,84,0,1,Corporate,Corporate L3,Offer1,Agent,11.879037
WK30175,Oregon,2672.095756,No,2/10/11,Employed,52822,Suburban,Married,67,23,88,0,1,Corporate,Corporate L1,Offer1,Branch,350.529033
ON44465,California,5313.294035,No,1/24/11,Unemployed,0,Suburban,Single,77,8,10,1,9,Personal,Personal L2,Offer1,Agent,863.3947
TV87155,Oregon,20946.19251,No,2/24/11,Employed,69738,Suburban,Married,74,2,26,1,2,Personal,Personal L3,Offer1,Branch,492.127532
KH48895,Arizona,8375.353929,No,2/15/11,Medical Leave,17780,Rural,Married,109,12,18,0,9,Personal,Personal L3,Offer1,Branch,132.588288
NZ30757,California,4801.661503,No,2/16/11,Medical Leave,18107,Suburban,Married,62,29,11,0,8,Personal,Personal L2,Offer1,Agent,297.6
RI22468,Arizona,5745.94334,No,1/22/11,Employed,57740,Urban,Married,74,30,87,3,9,Personal,Personal L1,Offer3,Web,269.905129
FZ30935,Oregon,6066.115969,No,2/25/11,Employed,32627,Suburban,Married,76,11,60,0,7,Personal,Personal L2,Offer1,Agent,380.036697
UG93476,California,8002.308333,Yes,1/11/11,Unemployed,0,Suburban,Married,107,3,65,0,3,Personal,Personal L3,Offer1,Agent,513.6
AB96670,California,2393.915369,Yes,1/31/11,Unemployed,0,Suburban,Single,70,24,10,0,1,Personal,Personal L1,Offer1,Branch,425.266308
XK64261,Oregon,4762.8179,No,1/12/11,Employed,65795,Rural,Single,62,2,85,1,3,Corporate,Corporate L3,Offer3,Call Center,49.011099
EV68375,California,4330.38602,Yes,2/16/11,Employed,60475,Suburban,Married,107,9,18,0,1,Personal,Personal L3,Offer2,Branch,513.6
UN51653,California,9402.729769,No,2/9/11,Unemployed,0,Suburban,Single,130,28,88,0,4,Personal,Personal L3,Offer1,Web,936.0
TO96662,Oregon,6966.694527,No,1/19/11,Employed,41837,Rural,Married,88,29,93,0,9,Personal,Personal L3,Offer1,Call Center,142.062768
MR52087,California,7694.064293,No,1/4/11,Employed,32303,Rural,Married,65,13,34,0,2,Personal,Personal L1,Offer3,Branch,45.152521
DE75225,Oregon,8717.561149,No,1/9/11,Unemployed,0,Suburban,Married,117,5,89,1,3,Personal,Personal L1,Offer1,Agent,561.6
EP80820,California,5928.748528,No,1/27/11,Employed,40531,Rural,Married,74,17,32,0,9,Personal,Personal L3,Offer1,Agent,30.567357
GU99037,Oregon,2452.977288,No,2/14/11,Employed,79898,Urban,Married,62,5,86,1,1,Corporate,Corporate L1,Offer4,Agent,271.606799
WI57118,California,6701.571657,No,2/27/11,Employed,56398,Suburban,Married,85,4,18,0,7,Personal,Personal L3,Offer4,Agent,408.0
YQ74870,Washington,7556.24034,No,2/12/11,Employed,35257,Suburban,Divorced,98,16,2,1,8,Corporate,Corporate L2,Offer2,Web,470.4
MQ14219,Arizona,8492.6988,No,2/26/11,Employed,27804,Suburban,Married,109,19,54,0,7,Personal,Personal L3,Offer2,Branch,784.8
KN20603,Oregon,7713.494046,No,2/20/11,Employed,45506,Suburban,Single,66,16,32,2,2,Personal,Personal L3,Offer1,Agent,316.8
CR48975,Washington,24084.5352,No,2/2/11,Employed,65196,Suburban,Married,67,0,54,0,2,Personal,Personal L2,Offer4,Branch,396.082036
JI70886,California,7290.069769,No,2/15/11,Unemployed,0,Suburban,Married,102,11,70,1,3,Corporate,Corporate L2,Offer1,Agent,489.6
VF72557,Oregon,4772.943848,Yes,2/18/11,Retired,20993,Suburban,Divorced,133,35,90,0,1,Personal,Personal L3,Offer2,Agent,638.4
OX28638,Arizona,6806.491395,No,1/21/11,Employed,37839,Suburban,Married,86,35,77,0,9,Personal,Personal L3,Offer2,Branch,465.633954
SK55033,California,2469.781334,No,1/15/11,Employed,92711,Suburban,Single,62,24,10,0,1,Personal,Personal L2,Offer3,Agent,368.400146
OO88645,California,3103.923041,No,2/5/11,Employed,74665,Urban,Married,78,10,90,2,1,Corporate,Corporate L2,Offer2,Call Center,236.902001
YT36855,Washington,2981.875575,No,2/24/11,Unemployed,0,Suburban,Married,83,26,89,0,1,Personal,Personal L2,Offer3,Web,582.679087
CW82151,California,8902.737595,No,1/5/11,Employed,46833,Rural,Married,112,6,3,0,9,Personal,Personal L3,Offer1,Call Center,64.109663
DY22043,Oregon,5499.447223,No,1/28/11,Employed,88768,Suburban,Married,68,17,77,0,7,Personal,Personal L3,Offer3,Branch,326.4
SH36774,California,15023.59858,No,1/12/11,Employed,28262,Suburban,Single,192,9,77,0,3,Personal,Personal L3,Offer3,Web,921.6
EM43724,Nevada,2509.107875,No,2/16/11,Employed,33555,Rural,Married,63,17,11,0,1,Personal,Personal L3,Offer1,Agent,101.89645
FH85960,Oregon,31221.7481,No,1/3/11,Employed,42780,Suburban,Divorced,113,10,27,1,2,Personal,Personal L2,Offer1,Call Center,542.4
XA55993,Oregon,3133.503432,No,2/7/11,Employed,58850,Rural,Single,78,20,26,0,1,Personal,Personal L3,Offer2,Branch,143.747794
GO36627,Arizona,3837.451863,No,1/13/11,Employed,21880,Urban,Married,97,29,37,0,1,Special,Special L2,Offer1,Branch,424.077159
QH48047,Oregon,11790.49617,Yes,1/3/11,Retired,25251,Suburban,Divorced,66,13,43,0,2,Personal,Personal L2,Offer2,Web,316.8
RB50392,Washington,7838.068321,No,2/17/11,Unemployed,0,Rural,Married,69,9,12,0,2,Personal,Personal L1,Offer2,Agent,2.704934
UH65059,Arizona,4305.808345,No,1/21/11,Employed,24188,Suburban,Married,109,14,82,0,1,Personal,Personal L3,Offer1,Agent,523.2
FV21968,Nevada,5973.976904,No,1/26/11,Employed,41611,Rural,Married,74,14,8,0,8,Special,Special L2,Offer1,Branch,113.801497
QA87025,Oregon,5670.442396,No,1/31/11,Employed,28406,Urban,Married,72,16,35,1,4,Personal,Personal L3,Offer1,Call Center,192.87572
TQ13499,Arizona,4731.749346,No,1/2/11,Employed,69833,Suburban,Married,118,32,99,0,1,Personal,Personal L3,Offer1,Agent,828.662719
BU44523,Arizona,8026.379641,No,2/7/11,Unemployed,0,Suburban,Single,74,15,91,0,2,Corporate,Corporate L2,Offer1,Web,532.8
MS41162,Arizona,4022.963529,No,1/26/11,Unemployed,0,Suburban,Single,117,6,1,0,1,Personal,Personal L3,Offer1,Agent,975.107098
PU25891,Oregon,9618.310865,No,1/11/11,Employed,80536,Rural,Married,119,5,83,0,3,Special,Special L2,Offer1,Branch,53.798708
RB81636,Washington,2274.775451,No,1/15/11,Unemployed,0,Suburban,Single,63,2,5,0,1,Personal,Personal L2,Offer2,Agent,606.642452
SX26335,Oregon,9552.926922,No,2/8/11,Employed,97732,Urban,Married,79,0,70,0,2,Personal,Personal L3,Offer4,Branch,289.9122
AZ95587,Arizona,10388.55323,No,1/11/11,Employed,61222,Urban,Single,89,20,55,0,2,Special,Special L3,Offer3,Branch,392.604371
DS81757,Oregon,2470.121222,No,1/9/11,Unemployed,0,Suburban,Single,74,7,20,0,1,Personal,Personal L1,Offer4,Web,721.242206
OJ94107,Arizona,5619.068508,No,2/4/11,Employed,50335,Urban,Married,140,9,54,0,1,Personal,Personal L2,Offer1,Call Center,456.52385
LP84436,California,9047.119209,No,1/21/11,Unemployed,0,Suburban,Single,127,30,11,0,6,Personal,Personal L2,Offer3,Branch,1087.995426
YV64727,Washington,6692.143668,No,2/16/11,Employed,63221,Suburban,Married,168,28,49,0,1,Corporate,Corporate L3,Offer3,Agent,806.4
LM19287,Oregon,3731.504584,Yes,2/24/11,Unemployed,0,Suburban,Married,96,31,34,0,1,Personal,Personal L1,Offer1,Agent,460.8
ZU18643,Nevada,3660.770258,No,1/18/11,Employed,64495,Urban,Married,92,34,30,0,1,Corporate,Corporate L2,Offer4,Web,251.992083
AZ82578,California,7928.829252,No,1/30/11,Unemployed,0,Suburban,Married,72,7,75,0,2,Corporate,Corporate L3,Offer1,Call Center,345.6
XC67861,Arizona,5011.751577,No,1/9/11,Employed,28859,Suburban,Divorced,67,24,51,3,4,Corporate,Corporate L2,Offer1,Call Center,321.6
YC43143,Arizona,7988.258292,No,2/1/11,Employed,77330,Rural,Married,99,0,21,0,3,Personal,Personal L3,Offer2,Web,99.257608
EK59571,Oregon,3885.456401,Yes,2/28/11,Unemployed,0,Suburban,Married,105,3,92,0,1,Corporate,Corporate L2,Offer1,Branch,504.0
GD83998,Washington,2659.337982,No,1/31/11,Employed,24495,Suburban,Single,70,29,65,0,1,Personal,Personal L2,Offer4,Branch,336.0
WA25797,Washington,8564.768226,Yes,2/17/11,Employed,95697,Rural,Married,107,29,29,0,9,Personal,Personal L3,Offer2,Agent,178.006524
PD27940,Arizona,4885.162511,No,2/12/11,Disabled,26372,Suburban,Married,126,11,7,0,1,Personal,Personal L3,Offer4,Agent,604.8
BS77946,Arizona,9753.307106,No,2/24/11,Medical Leave,17514,Rural,Married,127,2,5,0,3,Personal,Personal L1,Offer1,Branch,8.312729
YM50253,California,2946.153697,No,2/1/11,Employed,89270,Urban,Single,74,17,90,0,1,Personal,Personal L3,Offer2,Branch,316.599228
NR15332,California,2581.110945,No,2/6/11,Employed,29757,Suburban,Married,65,13,55,0,1,Personal,Personal L2,Offer2,Web,312.0
RC62865,Oregon,3517.385764,No,1/23/11,Employed,51814,Rural,Single,92,28,89,0,1,Personal,Personal L2,Offer3,Agent,56.300724
CC15295,Oregon,9743.350113,No,1/21/11,Employed,24028,Suburban,Married,82,14,27,0,2,Personal,Personal L2,Offer2,Agent,393.6
KA61892,Arizona,3873.647046,Yes,1/20/11,Retired,28142,Suburban,Married,105,18,50,0,1,Personal,Personal L3,Offer2,Agent,701.708239
OS94884,Arizona,7649.28199,No,1/6/11,Employed,52705,Rural,Married,64,14,8,1,2,Personal,Personal L2,Offer1,Web,128.705563
ND87334,California,2287.59692,No,2/22/11,Unemployed,0,Suburban,Married,63,1,5,0,1,Corporate,Corporate L3,Offer2,Agent,679.368378
ML93326,Washington,4475.424592,No,2/27/11,Employed,84903,Urban,Married,111,7,63,0,1,Personal,Personal L1,Offer1,Agent,497.126827
YL74911,California,8714.922135,Yes,2/21/11,Unemployed,0,Suburban,Divorced,118,14,64,0,4,Personal,Personal L3,Offer1,Agent,566.4
JP69864,Washington,2248.449633,Yes,1/29/11,Retired,24910,Suburban,Single,63,7,63,1,1,Personal,Personal L1,Offer1,Branch,347.857619
HL53154,California,7416.197322,No,2/22/11,Unemployed,0,Suburban,Single,77,15,12,2,2,Personal,Personal L3,Offer1,Agent,554.4
RI78966,Oregon,7771.158973,No,2/21/11,Medical Leave,21876,Suburban,Married,68,12,28,0,2,Personal,Personal L3,Offer1,Agent,465.41477
IC13702,California,6968.3419,No,1/10/11,Unemployed,0,Suburban,Single,69,33,61,1,2,Personal,Personal L3,Offer1,Agent,496.8
BE10809,California,4250.282624,Yes,1/18/11,Unemployed,0,Suburban,Single,61,17,1,1,7,Personal,Personal L1,Offer1,Agent,292.8
HT87217,Oregon,19776.56654,No,1/16/11,Employed,70699,Urban,Divorced,82,1,57,0,2,Personal,Personal L2,Offer3,Agent,256.813837
TH95618,California,21343.46599,No,1/6/11,Unemployed,0,Suburban,Married,74,11,85,1,2,Personal,Personal L2,Offer1,Agent,355.2
TS19868,California,2413.139714,No,1/27/11,Medical Leave,27501,Suburban,Married,63,20,0,0,1,Personal,Personal L1,Offer4,Branch,542.319401
LP45550,Oregon,15363.84716,No,1/15/11,Disabled,15897,Urban,Divorced,101,30,99,0,2,Personal,Personal L3,Offer2,Agent,303.148399
QR87004,Nevada,8456.961887,No,1/9/11,Employed,25141,Rural,Divorced,73,12,4,1,2,Personal,Personal L3,Offer3,Agent,25.438063
OE75747,Nevada,2189.642522,No,1/28/11,Unemployed,0,Suburban,Married,61,5,46,3,1,Personal,Personal L2,Offer3,Agent,292.8
DX91392,California,5780.182197,Yes,2/26/11,Employed,51066,Suburban,Single,74,23,0,0,8,Personal,Personal L2,Offer2,Call Center,787.993313
AB72731,California,4639.981638,No,1/4/11,Employed,28358,Rural,Married,117,24,37,0,1,Personal,Personal L2,Offer2,Call Center,84.024413
RU49126,Washington,4465.335703,No,2/1/11,Employed,61846,Rural,Married,112,1,48,0,1,Personal,Personal L2,Offer2,Agent,215.8182
IS12901,Arizona,5968.118877,No,1/27/11,Employed,90972,Urban,Married,74,3,47,0,8,Personal,Personal L3,Offer2,Call Center,232.926145
IX37561,Washington,5097.763337,No,2/14/11,Unemployed,0,Suburban,Single,74,3,95,0,7,Personal,Personal L3,Offer3,Web,532.8
HH90090,California,4076.634665,No,1/23/11,Employed,29549,Suburban,Divorced,104,17,51,0,1,Personal,Personal L2,Offer2,Call Center,710.433775
IU25463,California,12252.60179,No,2/18/11,Unemployed,0,Suburban,Married,115,12,17,1,2,Personal,Personal L2,Offer1,Agent,552.0
KC11055,Nevada,16936.27147,No,1/24/11,Employed,39411,Suburban,Married,217,4,29,2,4,Personal,Personal L3,Offer3,Branch,1122.658899
PD33979,Oregon,4892.435461,No,2/18/11,Employed,21709,Suburban,Married,62,28,17,0,3,Personal,Personal L2,Offer2,Branch,408.374746
NK71023,Nevada,9942.304791,No,1/19/11,Employed,67890,Suburban,Single,85,23,57,0,2,Personal,Personal L2,Offer4,Agent,408.0
AB13432,California,3735.838129,No,1/4/11,Unemployed,0,Suburban,Single,110,3,16,0,1,Personal,Personal L3,Offer1,Agent,792.0
OZ97704,California,13117.52215,No,2/7/11,Employed,84311,Suburban,Single,111,11,98,4,2,Personal,Personal L3,Offer3,Call Center,532.8
UF46533,California,4574.524094,No,1/30/11,Employed,99316,Suburban,Single,114,26,53,0,1,Corporate,Corporate L3,Offer2,Branch,754.358929
XP47431,Arizona,5470.060561,Yes,2/17/11,Employed,54507,Suburban,Married,138,20,11,0,1,Personal,Personal L1,Offer2,Agent,702.990032
